Norm_Forehead_Width,Norm_Cheekbone_Width,Norm_Jawline_Length,Norm_Facial_Length,Chin_Angle_1,Chin_Angle_2,Cheek_Bone_Angle,forehead_to_cheekbone_ratio,faciallength_to_foreheadwidth_ratio,Target
3.2916,2.4292,1.9147,4.5643,71.75,60.78,56.56,1.355,1.3867,Heart
3.3534,2.3888,1.7982,4.5812,66.85,53.26,71.49,1.4038,1.3662,Heart
3.2889,2.3216,1.8967,4.7644,67.23,54.94,75.94,1.4167,1.4486,Heart
3.3107,2.4488,2.0061,5.303,69.23,53.34,78.24,1.352,1.6018,Heart
3.2785,2.3798,1.8519,4.6899,67.81,55.99,73.96,1.3777,1.4305,Heart
3.333,2.3796,1.8418,4.6897,67.98,54.45,65.33,1.4007,1.4071,Heart
3.3925,2.4359,1.8221,4.859,61.07,46.9,67.93,1.3927,1.4323,Heart
3.2042,2.3129,1.8765,4.8196,74.08,62.75,78.84,1.3854,1.5042,Heart
3.4325,2.4133,1.9616,4.8941,58.97,47.38,65.62,1.4223,1.4258,Heart
3.4226,2.4645,1.9643,4.8433,72.21,59.31,65.49,1.3887,1.4151,Heart
3.184,2.3515,1.8013,4.9252,66.22,53.58,80.83,1.354,1.5468,Heart
3.2524,2.3684,1.9345,4.9144,68.09,53.36,71.42,1.3732,1.511,Heart
3.5375,2.4605,1.9649,4.7608,64.81,51.82,64.39,1.4377,1.3458,Heart
3.3132,2.4188,1.8417,4.7193,64.15,51.07,70.53,1.3698,1.4244,Heart
3.4926,2.418,2.0408,5.1097,71.72,58.18,77.27,1.4444,1.463,Heart
3.2914,2.384,1.9575,4.8025,63.67,50.74,60.97,1.3806,1.4591,Heart
3.4007,2.4319,1.9226,4.7043,66.18,52.93,65.9,1.3984,1.3833,Heart
3.4134,2.5054,1.9379,4.6968,64.6,51.74,65.81,1.3624,1.376,Heart
3.188,2.4026,1.9169,5.1042,64.05,49.76,64.71,1.3269,1.6011,Heart
3.27,2.4431,1.9411,4.8173,64.76,52.02,63.89,1.3385,1.4732,Heart
3.2848,2.4482,1.8764,4.6576,74.54,61.43,64.91,1.3417,1.4179,Heart
3.3275,2.4413,1.9469,4.8097,66.83,54.88,63.26,1.363,1.4454,Heart
3.4067,2.4656,2.0567,5.2241,64.43,53.83,70.92,1.3817,1.5335,Heart
3.1572,2.3711,1.7829,4.5325,73.93,61.91,72.39,1.3315,1.4356,Heart
3.2688,2.4803,1.8617,4.771,62.3,50.67,60.96,1.3179,1.4596,Heart
3.308,2.4258,1.8734,4.9008,62.03,48.03,71.18,1.3637,1.4815,Heart
3.4729,2.4829,1.9783,4.9865,70.63,57.26,71.14,1.3988,1.4358,Heart
3.4233,2.4146,1.9021,4.9524,62.1,49.16,71.72,1.4177,1.4467,Heart
3.4506,2.4208,1.9192,4.7852,63.24,49.93,65.81,1.4254,1.3868,Heart
3.4016,2.4676,2.0031,4.7932,68.81,56.35,61.26,1.3785,1.4091,Heart
3.2827,2.4001,1.9209,4.7282,67.28,53.19,71.68,1.3677,1.4403,Heart
3.347,2.4375,1.8116,4.7751,63.32,49.86,65.44,1.3731,1.4267,Heart
3.3486,2.3946,1.8265,4.728,63.37,49.32,70.81,1.3984,1.4119,Heart
3.2729,2.3906,1.8356,4.4927,71.66,58.19,76.09,1.3691,1.3727,Heart
3.4346,2.4694,1.8582,4.6123,63.55,49.65,61.22,1.3909,1.3429,Heart
3.2014,2.3683,1.7328,4.5172,66.42,51.66,64.06,1.3518,1.411,Heart
3.3747,2.4,1.895,4.75,64.36,50.71,66.39,1.4061,1.4075,Heart
3.289,2.4064,1.918,4.7093,69.58,55.54,75.43,1.3668,1.4318,Heart
3.2288,2.4284,1.9018,5.0339,68.36,54.16,70.48,1.3296,1.559,Heart
3.2905,2.4842,1.9254,4.7244,78.15,66.89,70.13,1.3246,1.4358,Heart
3.5017,2.4722,2.1048,5.0743,72.48,58.81,69.66,1.4164,1.4491,Heart
3.3951,2.346,1.981,4.8434,66.16,54.85,68.45,1.4472,1.4266,Heart
3.368,2.3704,1.9347,4.809,68.33,56.72,76.0,1.4209,1.4278,Heart
3.4198,2.4601,1.9396,4.9121,72.43,57.79,72.02,1.3901,1.4364,Heart
3.1937,2.3392,1.8337,4.7128,63.54,51.65,72.76,1.3653,1.4757,Heart
3.24,2.3587,1.8273,4.6325,65.98,53.62,69.16,1.3736,1.4298,Heart
3.4382,2.4573,2.0528,4.7716,70.54,57.25,66.15,1.3992,1.3878,Heart
3.391,2.4988,1.917,4.7662,66.47,52.66,64.58,1.3571,1.4055,Heart
3.2907,2.3609,1.8494,4.6511,62.68,52.6,68.96,1.3939,1.4134,Heart
3.2381,2.4148,1.8373,4.6497,68.48,55.02,72.82,1.3409,1.4359,Heart
3.1735,2.3894,1.7822,4.558,74.01,61.46,70.81,1.3282,1.4363,Heart
3.3187,2.4573,1.8842,4.7573,59.44,46.92,57.3,1.3505,1.4335,Heart
3.4258,2.436,1.9088,4.876,62.73,51.94,76.82,1.4063,1.4233,Heart
3.29,2.3712,1.9362,4.9103,63.71,52.66,70.11,1.3875,1.4925,Heart
3.4302,2.432,2.0408,4.8171,69.15,57.72,69.96,1.4104,1.4043,Heart
3.4037,2.4121,1.9487,4.6878,65.1,53.36,66.58,1.4111,1.3773,Heart
3.3909,2.4881,1.857,4.8623,57.93,45.49,64.03,1.3629,1.4339,Heart
3.2472,2.4002,1.88,4.8382,71.83,57.69,71.12,1.3529,1.4899,Heart
3.3186,2.4461,1.8906,5.2503,66.97,51.89,79.94,1.3567,1.582,Heart
3.3176,2.4537,1.7528,4.6318,66.6,50.25,77.37,1.3521,1.3961,Heart
3.3524,2.4152,1.8329,4.8435,58.98,46.09,70.11,1.3881,1.4448,Heart
3.1531,2.2748,1.8378,4.7705,59.53,46.22,65.35,1.3861,1.513,Heart
