chin_angle_1,chin_angle_2,cheek_bone_angle,ratio_1,ratio_2,ratio_3,face_shape
71.75,60.78,56.56,1.355,1.3867,1.7191,Heart
66.85,53.26,71.49,1.4038,1.3661,1.8649,Heart
67.23,54.94,75.94,1.4167,1.4486,1.734,Heart
69.23,53.34,78.24,1.352,1.6018,1.6503,Heart
67.81,55.99,73.96,1.3776,1.4305,1.7703,Heart
67.98,54.45,65.33,1.4007,1.4071,1.8096,Heart
61.07,46.9,67.93,1.3927,1.4323,1.8619,Heart
74.08,62.75,78.84,1.3854,1.5042,1.7075,Heart
58.97,47.38,65.62,1.4223,1.4258,1.7498,Heart
72.21,59.31,65.49,1.3888,1.4151,1.7424,Heart
66.22,53.58,80.83,1.354,1.5469,1.7676,Heart
68.09,53.36,71.42,1.3732,1.511,1.6813,Heart
64.81,51.82,64.39,1.4377,1.3458,1.8003,Heart
64.15,51.07,70.53,1.3698,1.4244,1.799,Heart
71.72,58.18,77.27,1.4444,1.463,1.7114,Heart
63.67,50.74,60.97,1.3806,1.4591,1.6814,Heart
66.18,52.93,65.9,1.3984,1.3833,1.7688,Heart
64.6,51.74,65.81,1.3624,1.376,1.7614,Heart
64.05,49.76,64.71,1.3269,1.6011,1.6631,Heart
64.76,52.02,63.89,1.3385,1.4732,1.6846,Heart
74.54,61.43,64.91,1.3417,1.4179,1.7506,Heart
66.83,54.88,63.26,1.363,1.4454,1.7091,Heart
64.43,53.83,70.92,1.3817,1.5335,1.6564,Heart
73.93,61.91,72.39,1.3315,1.4356,1.7708,Heart
62.3,50.67,60.96,1.3179,1.4596,1.7558,Heart
62.03,48.03,71.18,1.3637,1.4815,1.7658,Heart
70.63,57.26,71.14,1.3987,1.4358,1.7555,Heart
62.1,49.16,71.72,1.4178,1.4467,1.7997,Heart
63.24,49.93,65.81,1.4254,1.3868,1.7979,Heart
68.81,56.35,61.26,1.3785,1.4091,1.6982,Heart
67.28,53.19,71.68,1.3677,1.4403,1.7089,Heart
63.32,49.86,65.44,1.3731,1.4267,1.8475,Heart
63.37,49.32,70.81,1.3984,1.4119,1.8333,Heart
71.66,58.19,76.09,1.3691,1.3727,1.783,Heart
63.55,49.65,61.22,1.3909,1.3429,1.8483,Heart
66.42,51.66,64.06,1.3518,1.411,1.8475,Heart
64.36,50.71,66.39,1.4061,1.4075,1.7808,Heart
69.58,55.54,75.43,1.3668,1.4318,1.7148,Heart
68.36,54.16,70.48,1.3296,1.5591,1.6978,Heart
78.15,66.89,70.13,1.3246,1.4358,1.709,Heart
72.48,58.81,69.66,1.4164,1.4491,1.6637,Heart
66.16,54.85,68.45,1.4472,1.4266,1.7138,Heart
68.33,56.72,76.0,1.4209,1.4279,1.7408,Heart
72.43,57.79,72.02,1.3901,1.4364,1.7631,Heart
63.54,51.65,72.76,1.3653,1.4757,1.7417,Heart
65.98,53.62,69.16,1.3736,1.4298,1.7731,Heart
70.54,57.25,66.15,1.3992,1.3878,1.6749,Heart
66.47,52.66,64.58,1.3571,1.4055,1.7689,Heart
62.68,52.6,68.96,1.3938,1.4134,1.7793,Heart
68.48,55.02,72.82,1.3409,1.4359,1.7624,Heart
74.01,61.46,70.81,1.3282,1.4363,1.7807,Heart
59.44,46.92,57.3,1.3505,1.4335,1.7613,Heart
62.73,51.94,76.82,1.4063,1.4233,1.7947,Heart
63.71,52.66,70.11,1.3875,1.4925,1.6992,Heart
69.15,57.72,69.96,1.4104,1.4043,1.6808,Heart
65.1,53.36,66.58,1.4111,1.3773,1.7467,Heart
57.93,45.49,64.03,1.3628,1.4339,1.826,Heart
71.83,57.69,71.12,1.3529,1.49,1.7272,Heart
66.97,51.89,79.94,1.3567,1.5821,1.7553,Heart
66.6,50.25,77.37,1.3521,1.3961,1.8927,Heart
58.98,46.09,70.11,1.388,1.4448,1.829,Heart
59.53,46.22,65.35,1.3861,1.513,1.7157,Heart
71.09,61.32,64.33,1.3416,1.4404,1.604,Heart
67.17,54.22,71.54,1.405,1.4308,1.6261,Heart
68.2,54.81,73.98,1.3622,1.4619,1.6699,Heart
59.97,47.67,63.91,1.4327,1.4442,1.6492,Heart
65.78,54.68,65.5,1.376,1.5324,1.5968,Heart
61.65,45.74,65.05,1.3685,1.4581,1.814,Heart
67.78,53.78,66.77,1.4163,1.3187,1.8713,Heart
66.37,53.89,68.99,1.4361,1.3518,1.8564,Heart
64.54,53.67,65.46,1.3918,1.4321,1.7083,Heart
61.23,49.14,62.97,1.4644,1.3553,1.8118,Heart
63.9,49.44,68.67,1.3319,1.5011,1.7651,Heart
75.79,63.76,78.33,1.3966,1.4831,1.7226,Heart
67.71,55.95,75.36,1.4012,1.4336,1.7556,Heart
73.34,61.46,72.58,1.3452,1.3956,1.6685,Heart
65.35,52.5,70.95,1.3641,1.4378,1.8187,Heart
64.49,51.07,70.06,1.3999,1.3983,1.8073,Heart
77.15,63.59,72.8,1.4169,1.387,1.6396,Heart
70.93,59.5,74.26,1.398,1.4126,1.7203,Heart
59.44,46.92,57.3,1.3505,1.4335,1.7613,Heart
67.17,54.51,73.02,1.3338,1.5797,1.6427,Heart
76.28,62.0,69.25,1.3841,1.4171,1.6755,Heart
59.97,46.4,75.35,1.3315,1.5615,1.7765,Heart
69.25,56.03,71.91,1.3813,1.3894,1.8288,Heart
67.29,53.95,64.12,1.3933,1.4077,1.7988,Heart
